date,year,month,day,date_type,line_name,station_name,daily_in_passengers,daily_out_passengers,daily_total_passengers
2026-04-24,2026,4,24,평일,공항철도,홍대입구역,18343,17850,36193
2026-04-25,2026,4,25,주말,2호선,홍대입구역,92264,102794,195058
2026-04-25,2026,4,25,주말,경의중앙선,홍대입구역,3228,4001,7229
2026-04-25,2026,4,25,주말,공항철도,홍대입구역,21922,20899,42821
2026-04-26,2026,4,26,주말,2호선,홍대입구역,71812,73768,145580
2026-04-26,2026,4,26,주말,경의중앙선,홍대입구역,2479,2878,5357
2026-04-26,2026,4,26,주말,공항철도,홍대입구역,17810,15204,33014
2026-04-27,2026,4,27,평일,2호선,홍대입구역,70288,73179,143467
2026-04-27,2026,4,27,평일,경의중앙선,홍대입구역,2080,2351,4431
2026-04-27,2026,4,27,평일,공항철도,홍대입구역,15220,14053,29273
2026-04-28,2026,4,28,평일,2호선,홍대입구역,73117,76488,149605
2026-04-28,2026,4,28,평일,경의중앙선,홍대입구역,2316,2718,5034
2026-04-28,2026,4,28,평일,공항철도,홍대입구역,15607,14817,30424
2026-04-29,2026,4,29,평일,2호선,홍대입구역,75806,79578,155384
2026-04-29,2026,4,29,평일,경의중앙선,홍대입구역,2485,2878,5363
2026-04-29,2026,4,29,평일,공항철도,홍대입구역,15983,15616,31599
2026-04-30,2026,4,30,평일,2호선,홍대입구역,86241,94753,180994
2026-04-30,2026,4,30,평일,경의중앙선,홍대입구역,2824,3230,6054
2026-04-30,2026,4,30,평일,공항철도,홍대입구역,18178,18134,36312
